available_spots,capacity,prefix,course_number,type,section,title,credits,time,days,room,building,spec,instructor,session,additional_meet_times,additional_meet_days,additional_notes
(F),40,MATH,1022,,6,PLANE TRIGONOMETRY,3.0,1130-1220,T,0237,LOCKETT,,OSWALT S,Normal,TBA,,
7,33,MATH,1022,,7,PLANE TRIGONOMETRY,3.0,1230-0120,T,0237,LOCKETT,,BIST K,Normal,TBA,,
16,24,MATH,1022,,8,PLANE TRIGONOMETRY,3.0,730-0820,TH,0237,LOCKETT,,VU M,Normal,TBA,,
9,31,MATH,1022,,9,PLANE TRIGONOMETRY,3.0,830-0920,TH,0237,LOCKETT,,VU M,Normal,TBA,,
2,38,MATH,1022,,10,PLANE TRIGONOMETRY,3.0,930-1020,TH,0237,LOCKETT,,VU M,Normal,TBA,,
25,150,MATH,1022,,11,PLANE TRIGONOMETRY,3.0,1030-1120,TH,B015,LOCKETT,,GARDNER J,Normal,TBA,,
2,38,MATH,1022,,12,PLANE TRIGONOMETRY,3.0,1030-1120,TH,0237,LOCKETT,,GIZZI S,Normal,TBA,,
4,36,MATH,1022,,13,PLANE TRIGONOMETRY,3.0,1130-1220,TH,0237,LOCKETT,,GIZZI S,Normal,TBA,,
6,34,MATH,1022,,14,PLANE TRIGONOMETRY,3.0,1230-0120,TH,0237,LOCKETT,,ABUBAKAR M,Normal,TBA,,
4,36,MATH,1022,,17,PLANE TRIGONOMETRY,3.0,930-1020,F,0239,LOCKETT,,ABUBAKAR M,Normal,TBA,,
59,116,MATH,1022,,18,PLANE TRIGONOMETRY,3.0,930-1020,F,B016,LOCKETT,,GARDNER J,Normal,TBA,,
6,34,MATH,1022,,19,PLANE TRIGONOMETRY,3.0,1030-1120,F,0239,LOCKETT,,ABUBAKAR M,Normal,TBA,,
6,44,MATH,1022,,51,PLANE TRIGONOMETRY,3.0,TBA,,,,75-99% WEB BASE,OSWALT S,Normal,TBA,,WORLD WIDE WEB-BASED DELIVERY
41,39,MATH,1028,,101,COREQ FOR MATH 1029,2.0,1030-1150,T,0206,TUREAUD HALL,50-74% WEB BASE,MUFFULETTO M,Normal,,,THIS SECTION IS LINKED TO MATH 1029 101 + WORLD WIDE WEB-BASED DELIVERY
387,263,MATH,1029,,1,INTRO CONTEMP MATH,3.0,1030-1120,M W F,0101,GYM AUDITORIUM,SUPPLEMENTAL IN,MUFFULETTO M,Normal,,,
41,39,MATH,1029,,101,INTRO CONTEMP MATH,3.0,1030-1120,M W F,0101,GYM AUDITORIUM,,MUFFULETTO M,Normal,,,THIS SECTION IS LINKED TO MATH 1028 101
35,255,MATH,1100,,1,NATURE OF MATHEMATCS,3.0,1200-0120,T TH,B002,LOCKETT,,DOUGHERTY E,Normal,,,
84,466,MATH,1100,,2,NATURE OF MATHEMATCS,3.0,TBA,,,,100% WEB BASED,DOUGHERTY E,Normal,,,WORLD WIDE WEB-BASED DELIVERY
8,17,MATH,1201,,1,NUMBR SENS/PROB SOLV,3.0,830-0920,M W F,0276,LOCKETT,,DOUGHERTY E,Normal,,,
4,21,MATH,1201,,2,NUMBR SENS/PROB SOLV,3.0,930-1020,M W F,0276,LOCKETT,,DOUGHERTY E,Normal,,,
26,12,MATH,1202,,1,GEOM/REASONG/MEASURE,3.0,900-1020,T TH,0138,LOCKETT,,DOUGHERTY E,Normal,,,
9,26,MATH,1431,,1,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,830-0920,M,
1,28,MATH,1431,,2,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,930-1020,M,
4,31,MATH,1431,,3,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,930-1020,M,
2,33,MATH,1431,,4,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,1030-1120,M,
3,32,MATH,1431,,5,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,1130-1220,M,
3,32,MATH,1431,,6,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,1230-0120,M,
3,32,MATH,1431,,7,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,130-0220,M,
4,25,MATH,1431,,8,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,130-0220,M,
2,33,MATH,1431,,9,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,230-0320,M,
6,29,MATH,1431,,10,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,830-0920,T,
4,31,MATH,1431,,11,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,930-1020,T,
(F),35,MATH,1431,,12,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,1030-1120,T,
8,27,MATH,1431,,13,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,230-0320,T,
5,30,MATH,1431,,14,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,830-0920,W,
4,25,MATH,1431,,15,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,930-1020,W,
5,30,MATH,1431,,16,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,930-1020,W,
3,32,MATH,1431,,17,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,1030-1120,W,
2,33,MATH,1431,,18,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,1230-0120,W,
4,31,MATH,1431,,19,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,130-0220,W,
6,29,MATH,1431,,20,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,230-0320,W,
4,31,MATH,1431,,21,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,830-0920,TH,
4,31,MATH,1431,,22,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,930-1020,TH,
5,30,MATH,1431,,23,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,230-0320,TH,
14,21,MATH,1431,,24,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,830-0920,F,
5,30,MATH,1431,,25,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,930-1020,F,
14,15,MATH,1431,,26,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,930-1020,F,
1,34,MATH,1431,,27,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,1030-1120,F,
5,24,MATH,1431,,28,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,1030-1120,F,
6,29,MATH,1431,,29,CAL-BUS & ECO APLCAT,3.0,1200-0120,T TH,0101,GYM AUDITORIUM,,LEDET J,Normal,1130-1220,F,
27,13,MATH,1520,,2,BIOMATH CALC STAT 2,4.0,1030-1120,TWTF,0200,TUREAUD HALL,,SPEDALE D,Normal,,,
1,41,MATH,1520,,1,BIOMATH CALC STAT 2,4.0,130-0220,TWTF,B040,EVANGELINE HALL,,SINGH R,Normal,,,
4,36,MATH,1530,,2,DIFFERENTIAL CALC,3.0,230-0320,M W F,0136,LOCKETT,,AGRAHARI G,Normal,,,
23,57,MATH,1540,,1,INTEGRAL CALCULUS,3.0,130-0220,M W F,0228,COATES,,TAKENOV N,Normal,,,
5,35,MATH,1540,,2,INTEGRAL CALCULUS,3.0,230-0320,M W F,B040,EVANGELINE HALL,,TU F,Normal,,,
16,24,MATH,1540,,3,INTEGRAL CALCULUS,3.0,900-1020,T TH,0116,LOCKETT,,SUNKARA G,Normal,,,
23,11,MATH,1540,,4,INTEGRAL CALCULUS,3.0,900-1020,T TH,0248,WOODIN HALL,,TAOUDI L,Normal,,,
1,39,MATH,1550,,1,CALCULUS I,5.0,730-0820,MTWTF,0112,LOCKETT,,BHATTACHARYYA,Normal,,,
5,35,MATH,1550,,2,CALCULUS I,5.0,830-0920,MTWTF,0114,LOCKETT,,ALJANABI M,Normal,,,
2,38,MATH,1550,,3,CALCULUS I,5.0,830-0920,MTWTF,0112,LOCKETT,,BROMLEY H,Normal,,,
(F),40,MATH,1550,,4,CALCULUS I,5.0,930-1020,MTWTF,0112,LOCKETT,,PANDIKKADAN A,Normal,,,
5,35,MATH,1550,,5,CALCULUS I,5.0,1030-1120,MTWTF,0112,LOCKETT,,ARORA P,Normal,,,
2,38,MATH,1550,,6,CALCULUS I,5.0,1030-1120,MTWTF,1010,AZALEA HALL,,WANG X,Normal,,,
(F),40,MATH,1550,,7,CALCULUS I,5.0,1130-1220,MTWTF,1010,AZALEA HALL,,CHOI D,Normal,,,
1,39,MATH,1550,,8,CALCULUS I,5.0,1230-0120,MTWTF,1010,AZALEA HALL,,FUSCO G,Normal,,,
1,39,MATH,1550,,9,CALCULUS I,5.0,1230-0120,MTWTF,0112,LOCKETT,,CHAMPAGNE J,Normal,,,
11,39,MATH,1550,,10,CALCULUS I,5.0,130-0220,MTWTF,1010,AZALEA HALL,,NEUBRANDER F,Normal,,,
10,30,MATH,1550,,11,CALCULUS I,5.0,230-0320,MTWTF,0112,LOCKETT,,DING G,Normal,,,
3,37,MATH,1550,,12,CALCULUS I,5.0,330-0420,MTWTF,0112,LOCKETT,,ROSEN N,Normal,,,
2,28,MATH,1550,,13,CALCULUS I,5.0,130-0220,MTWTH,B005,LOCKETT,,HARHAD A,Normal,,,
6,24,MATH,1550,,14,CALCULUS I,5.0,130-0220,MTWTH,B005,LOCKETT,,HARHAD A,Normal,,,
6,24,MATH,1550,,15,CALCULUS I,5.0,130-0220,MTWTH,B005,LOCKETT,,HARHAD A,Normal,,,
9,31,MATH,1550,,16,CALCULUS I,5.0,130-0220,MTWTH,B005,LOCKETT,,HARHAD A,Normal,,,
10,30,MATH,1550,,17,CALCULUS I,5.0,130-0220,MTWTH,B005,LOCKETT,,HARHAD A,Normal,,,
(F),32,MATH,1550,,18,CALCULUS I,5.0,130-0220,MTWTH,B005,LOCKETT,,HARHAD A,Normal,,,
3,47,MATH,1550,,19,CALCULUS I,5.0,430-0650N,M W,B010,LOCKETT,,SIMON D,Normal,,,
10,182,MATH,1552,,1,AN GEOM&CALCULUS-II,4.0,730-0820,TWTF,B005,LOCKETT,,RIOS ARRIETA,Normal,,,"UP TO 5 EXAMS WILL BE GIVEN THURSDAY EVENINGS, 7:00-8:30PM"
23,17,MATH,1552,,2,AN GEOM&CALCULUS-II,4.0,930-1020,TWTF,1022,CAMELLIA HALL,,KOPP G,Normal,,,
66,124,MATH,1552,,3,AN GEOM&CALCULUS-II,4.0,930-1020,TWTF,B005,LOCKETT,,TOM M,Normal,,,"UP TO 5 EXAMS WILL BE GIVEN THURSDAY EVENINGS, 7:00-8:30PM"
16,174,MATH,1552,,4,AN GEOM&CALCULUS-II,4.0,1030-1120,TWTF,B005,LOCKETT,,TOM M,Normal,,,"UP TO 5 EXAMS WILL BE GIVEN THURSDAY EVENINGS, 7:00-8:30PM"
11,29,MATH,1552,,5,AN GEOM&CALCULUS-II,4.0,1030-1120,TWTF,1022,CAMELLIA HALL,,KOPP G,Normal,,,
5,35,MATH,1552,,6,AN GEOM&CALCULUS-II,4.0,1130-1220,TWTF,1022,CAMELLIA HALL,,TAOUDI L,Normal,,,
(F),40,MATH,1552,,7,AN GEOM&CALCULUS-II,4.0,1230-0120,TWTF,0285,LOCKETT,,QUALLS B,Normal,,,
7,33,MATH,1552,,8,AN GEOM&CALCULUS-II,4.0,130-0220,TWTF,0112,LOCKETT,,TAOUDI L,Normal,,,
10,70,MATH,1552,,10,AN GEOM&CALCULUS-II,4.0,500-0650N,T TH,0145,COATES,,VEMPATI N,Normal,,,
(F),30,MATH,1553,,1,HON- AN GEOM CAL II,4.0,830-0920,TWTF,0113,LOCKETT,,RIOS ARRIETA,Normal,,,
9,21,MATH,1553,,2,HON- AN GEOM CAL II,4.0,930-1020,TWTF,0114,LOCKETT,,ALLEN M,Normal,,,
17,18,MATH,2020,,1,SOLVING DISCRETE PRO,3.0,1030-1150,T TH,0284,LOCKETT,CI-WRITTEN&SPOK,RIOS ARRIETA,Normal,,,SECTION INVOLVES COMMUNICATION-INTENSIVE LEARNING
12,7,MATH,2030,,1,DISCRETE DYNAMICALS,3.0,1030-1120,M W F,0240,LOCKETT,CI-WRITTEN&SPOK,WOLENSKI P,Normal,,,SECTION INVOLVES COMMUNICATION-INTENSIVE LEARNING
(F),80,MATH,2057,,1,MULTIDIMENSIONAL CAL,3.0,1030-1120,M W F,0155,COATES,,TAKENOV N,Normal,,,
1,79,MATH,2057,,2,MULTIDIMENSIONAL CAL,3.0,1130-1220,M W F,0155,COATES,,TAKENOV N,Normal,,,
27,13,MATH,2057,,5,MULTIDIMENSIONAL CAL,3.0,230-0320,M W F,0276,LOCKETT,,SAAD H,Normal,,,
4,76,MATH,2057,,3,MULTIDIMENSIONAL CAL,3.0,1030-1150,T TH,0155,COATES,,ZHU J,Normal,,,
4,76,MATH,2057,,4,MULTIDIMENSIONAL CAL,3.0,1200-0120,T TH,0155,COATES,,ZHU J,Normal,,,
7,12,MATH,2060,LAB,1,TECHNOLOGY LAB,1.0,1200-1250,T TH,0205,COATES,C-I TECH,MADDEN J,Normal,,,SECTION INVOLVES COMMUNICATION-INTENSIVE LEARNING
72,8,MATH,2065,,1,EL DIFFERENTIAL EQ,3.0,730-0850,T TH,0155,COATES,,RUBIN B,Normal,,,
56,24,MATH,2065,,2,EL DIFFERENTIAL EQ,3.0,900-1020,T TH,0155,COATES,,RUBIN B,Normal,,,
2,78,MATH,2065,,3,EL DIFFERENTIAL EQ,3.0,1030-1150,T TH,0145,COATES,,MALISOFF M,Normal,,,
1,79,MATH,2070,,1,MATH METH IN ENGINEE,4.0,930-1020,TWTF,1253,PATRICK TAYLOR,,HAN R,Normal,,,
1,79,MATH,2070,,2,MATH METH IN ENGINEE,4.0,1030-1120,TWTF,1253,PATRICK TAYLOR,,HAN R,Normal,,,
2,18,MATH,2085,,1,LINEAR ALGEBRA,3.0,1130-1220,M W F,0208,WILLIAMS,,ANTIPOV Y,Normal,,,
7,13,MATH,2085,,2,LINEAR ALGEBRA,3.0,1130-1220,M W F,0284,LOCKETT,,BIBBY C,Normal,,,
5,75,MATH,2090,,1,ELEM DIFF EQ & LIN A,4.0,930-1020,TWTF,0109,NICHOLSON,,YANG F,Normal,,,
1,79,MATH,2090,,2,ELEM DIFF EQ & LIN A,4.0,1030-1120,TWTF,0109,NICHOLSON,,AZHANG A,Normal,,,UP TO 4 EXAMS WILL BE GIVEN ON SELECTED THURSDAYS FROM + 6:00-7:30 PM.
10,70,MATH,2090,,3,ELEM DIFF EQ & LIN A,4.0,1130-1220,TWTF,0109,NICHOLSON,,AZHANG A,Normal,,,UP TO 4 EXAMS WILL BE GIVEN ON SELECTED THURSDAYS FROM + 6:00-7:30 PM.
6,34,MATH,2090,,5,ELEM DIFF EQ & LIN A,4.0,1230-0120,TWTF,0241,LOCKETT,,SUNUWAR A,Normal,,,
(F),41,MATH,2090,,4,ELEM DIFF EQ & LIN A,4.0,130-0220,TWTF,0145,COATES,,SAMARAWICKRAM,Normal,,,
19,1,MATH,2999,RES,1,INTRO RESEARCH EXP,1-3,TBA,,,,,MADDEN J,Normal,,,
1,34,MATH,3355,,1,PROBABILITY,3.0,1030-1120,M W F,0277,LOCKETT,,BUNTING C,Normal,,,
8,22,MATH,3355,,2,PROBABILITY,3.0,1200-0120,T TH,0116,LOCKETT,,YANG F,Normal,,,
6,19,MATH,4023,,1,APPLIED ALGEBRA,3.0,330-0420,M W F,E131,HOWE RUSSELL EA,,TU F,Normal,,,
4,15,MATH,4025,,1,OPTIMIZATION THY-APP,3.0,1200-0120,T TH,0119,LOCKETT,,ZHANG H,Normal,,,
7,12,MATH,4027,,1,DIFFERENTIAL EQU,3.0,1230-0120,M W F,0119,LOCKETT,,RICHARDSON L,Normal,,,
13,22,MATH,4031,,1,ADVANCED CALCULUS I,3.0,230-0320,M W F,0138,LOCKETT,,RICHARDSON L,Normal,,,
14,5,MATH,4032,,1,ADVANCED CALCULUS II,3.0,1030-1120,M W F,0208,WILLIAMS,,ANTIPOV Y,Normal,,,
(F),32,MATH,4036,,1,COMPLEX VARIABLES,3.0,130-0250,T TH,0284,LOCKETT,,RIOS ARRIETA,Normal,,,
6,9,MATH,4046,,1,LONGTERM ACT MATH2,3.0,1200-0120,T TH,0284,LOCKETT,,SMOLINSKY L,Normal,,,
8,11,MATH,4058,,1,ELEM STOCH PROCESSES,3.0,900-1020,T TH,0130,LOCKETT,,SUNDAR P,Normal,,,
13,6,MATH,4066,,1,NUMERICAL DIFF EQ,3.0,1030-1150,T TH,0119,LOCKETT,,SUNG L,Normal,,,
12,7,MATH,4153,,1,FIN DIM VECT SPAC,3.0,1230-0120,M W F,0284,LOCKETT,,TARFULEA A,Normal,,,
13,7,MATH,4201,,1,ABSTRACT ALGEBRA II,3.0,1130-1220,M W F,0130,LOCKETT,,LONG L,Normal,,,
15,4,MATH,4325,,1,FOURIER TRANSFORMS,3.0,130-0250,T TH,0119,LOCKETT,,MASSATT D,Normal,,,
5,15,MATH,4700,,1,HISTORY OF MATH,3.0,130-0220,M W F,0237,LOCKETT,,DELZELL C,Normal,,,
6,14,MATH,4997,SEM,1,VERT INT RESEARCH,3.0,1030-1120,M W F,0232,LOCKETT,CI-WRITTEN&SPOK,DANI P,Normal,,,SECTION INVOLVES COMMUNICATION-INTENSIVE LEARNING
(F),21,MATH,4997,SEM,3,VERT INT RESEARCH,3.0,130-0250,T TH,0385,LOCKETT,CI-SPOKEN&VISUA,DRENSKA N,Normal,,,SECTION INVOLVES COMMUNICATION-INTENSIVE LEARNING
7,3,MATH,4999,RES,1,SEL RDGS IN MATH,1-3,TBA,,,,,SMOLINSKY L,Normal,,,
4,10,MATH,4999,RES,2,SEL RDGS IN MATH,1-3,TBA,,,,,MADDEN J,Normal,,,
9,1,MATH,4999,RES,5,SEL RDGS IN MATH,1-3,TBA,,,,,SMOLINSKY L,Normal,,,
9,1,MATH,4999,RES,6,SEL RDGS IN MATH,1-3,TBA,,,,,NEUBRANDER F,Normal,,,
1,24,MATH,7002,SEM,1,COMMUNICATNG MATH II,1.0,300-0450,T TH,0243,LOCKETT,,SHIPMAN S,Normal,,,
5,14,MATH,7211,,1,ALGEBRA II,3.0,130-0220,M W F,0232,LOCKETT,,NG S,Normal,,,
14,5,MATH,7230,,1,NUMBER THEORY,3.0,230-0320,M W F,0232,LOCKETT,,LONG L,Normal,,,
18,2,MATH,7290,SEM,1,SEM ALG/NUMBR THEORY,1-3,830-0920,M W F,0232,LOCKETT,,HE H,Normal,,,
10,8,MATH,7290,SEM,2,SEM ALG/NUMBR THEORY,1-3,1030-1150,T TH,0233,LOCKETT,,ACHAR P,Normal,,,
6,13,MATH,7320,,1,ORD DIFFERENTIAL EQU,3.0,930-1020,M W F,0232,LOCKETT,,WOLENSKI P,Normal,,,
6,19,MATH,7330,,1,FUNCTIONAL ANALYSIS,3.0,900-1020,T TH,0241,LOCKETT,,ESTRADA R,Normal,,,
12,7,MATH,7366,,1,STOCHASTIC ANALYSIS,3.0,1200-0120,T TH,0244,LOCKETT,,SUNDAR P,Normal,,,
3,7,MATH,7375,,1,WAVELETS,3.0,1030-1120,M W F,0111,LOCKETT,,NGUYEN P,Normal,,,
14,6,MATH,7384,,1,TOPICS MATERIAL SCI,3.0,1230-0120,M W F,0232,LOCKETT,,LIPTON R,Normal,,,
16,3,MATH,7390,SEM,1,SEMINAR IN ANALYSIS,1-3,130-0220,M W F,0119,LOCKETT,,WAN X,Normal,,,
13,7,MATH,7390,SEM,2,SEMINAR IN ANALYSIS,1-3,130-0250,T TH,0101,AUDUBON,,BULUT A,Normal,,,
4,16,MATH,7410,,1,GRAPH THEORY,3.0,130-0250,T TH,0232,LOCKETT,,WANG Z,Normal,,,
5,14,MATH,7512,,1,TOPOLOGY II,3.0,1200-0120,T TH,0232,LOCKETT,,COHEN D,Normal,,,
8,12,MATH,7550,,1,DIFF. GEOM & TOPOLOG,3.0,900-1020,T TH,0232,LOCKETT,,BALDRIDGE S,Normal,,,
10,10,MATH,7590,SEM,1,SEM GEOM/ALG TOPOLGY,1-3,930-1020,M W F,0111,LOCKETT,,SCHREVE K,Normal,,,
13,5,MATH,7590,SEM,2,SEM GEOM/ALG TOPOLGY,1-3,1200-0120,T TH,0233,LOCKETT,,BALDRIDGE S,Normal,,,
5,14,MATH,7710,,1,ADV NUMER LINEAR ALG,3.0,1030-1150,T TH,0232,LOCKETT,,BRENNER S,Normal,,,
3,2,MATH,7999,RES,1,SEL READINGS IN MATH,1-3,TBA,,,,,BIBBY C,Normal,,,
3,2,MATH,7999,RES,2,SEL READINGS IN MATH,1-3,TBA,,,,,HOFFMAN J,Normal,,,
(F),5,MATH,7999,RES,3,SEL READINGS IN MATH,1-3,TBA,,,,,DANI P,Normal,,,
3,2,MATH,7999,RES,4,SEL READINGS IN MATH,1-3,TBA,,,,,DRENSKA N,Normal,,,
3,2,MATH,7999,RES,5,SEL READINGS IN MATH,1-3,TBA,,,,,WANG X,Normal,,,
2,3,MATH,7999,RES,6,SEL READINGS IN MATH,1-3,TBA,,,,,GANGULY A,Normal,,,
(F),7,MATH,7999,RES,7,SEL READINGS IN MATH,1-3,TBA,,,,,VELA-VICK D,Normal,,,
3,2,MATH,7999,RES,8,SEL READINGS IN MATH,1-3,TBA,,,,,KOPP G,Normal,,,
3,2,MATH,7999,RES,9,SEL READINGS IN MATH,1-3,TBA,,,,,TU F,Normal,,,
3,2,MATH,7999,RES,10,SEL READINGS IN MATH,1-3,TBA,,,,,WOLENSKI P,Normal,,,
1,4,MATH,7999,RES,11,SEL READINGS IN MATH,1-3,TBA,,,,,FEHRMAN B,Normal,,,
3,2,MATH,7999,RES,12,SEL READINGS IN MATH,1-3,TBA,,,,,ACHAR P,Normal,,,
3,2,MATH,7999,RES,13,SEL READINGS IN MATH,1-3,TBA,,,,,WANG Z,Normal,,,
3,2,MATH,7999,RES,14,SEL READINGS IN MATH,1-3,TBA,,,,,HAN R,Normal,,,
3,2,MATH,7999,RES,15,SEL READINGS IN MATH,1-3,TBA,,,,,NEUBRANDER F,Normal,,,
4,1,MATH,7999,RES,16,SEL READINGS IN MATH,1-3,TBA,,,,,NEUBRANDER F,Normal,,,
3,2,MATH,7999,RES,17,SEL READINGS IN MATH,1-3,TBA,,,,,TARFULEA A,Normal,,,
3,2,MATH,7999,RES,18,SEL READINGS IN MATH,1-3,TBA,,,,,ACHAR P,Normal,,,
2,3,MATH,7999,RES,20,SEL READINGS IN MATH,1-3,TBA,,,,,BALDRIDGE S,Normal,,,
3,2,MATH,7999,RES,21,SEL READINGS IN MATH,1-3,TBA,,,,,BALIBANU A,Normal,,,
4,1,MATH,7999,RES,22,SEL READINGS IN MATH,1-3,TBA,,,,,MADDEN J,Normal,,,
4,1,MATH,7999,RES,23,SEL READINGS IN MATH,1-3,TBA,,,,,NG S,Normal,,,
4,1,MATH,7999,RES,26,SEL READINGS IN MATH,1-3,TBA,,,,,ZHU J,Normal,,,
4,1,MATH,7999,RES,27,SEL READINGS IN MATH,1-3,TBA,,,,,LIPTON R,Normal,,,
4,1,MATH,7999,RES,28,SEL READINGS IN MATH,1-3,TBA,,,,,WANG Z,Normal,,,
4,1,MATH,7999,RES,29,SEL READINGS IN MATH,1-3,TBA,,,,,SHIPMAN S,Normal,,,
9,1,MATH,7999,RES,30,SEL READINGS IN MATH,1-3,TBA,,,,,WOLENSKI P,Normal,,,
4,1,MATH,8000,RES,1,THESIS RESEARCH,1-12,TBA,,,,,NEUBRANDER F,Normal,,,
1,4,MATH,9000,RES,1,DISSERTATION RES,1-12,TBA,,,,,DING G,Normal,,,
(F),5,MATH,9000,RES,2,DISSERTATION RES,1-12,TBA,,,,,OXLEY J,Normal,,,
4,1,MATH,9000,RES,3,DISSERTATION RES,1-12,TBA,,,,,LIPTON R,Normal,,,
1,4,MATH,9000,RES,4,DISSERTATION RES,1-12,TBA,,,,,ACHAR P,Normal,,,
3,2,MATH,9000,RES,5,DISSERTATION RES,1-12,TBA,,,,,VELA-VICK D,Normal,,,
2,3,MATH,9000,RES,6,DISSERTATION RES,1-12,TBA,,,,,LONG L,Normal,,,
4,1,MATH,9000,RES,9,DISSERTATION RES,1-12,TBA,,,,,SHIPMAN S,Normal,,,
4,1,MATH,9000,RES,11,DISSERTATION RES,1-12,TBA,,,,,ESTRADA R,Normal,,,
4,1,MATH,9000,RES,12,DISSERTATION RES,1-12,TBA,,,,,WALKER S,Normal,,,
2,3,MATH,9000,RES,14,DISSERTATION RES,1-12,TBA,,,,,SUNDAR P,Normal,,,
4,1,MATH,9000,RES,15,DISSERTATION RES,1-12,TBA,,,,,BALDRIDGE S,Normal,,,
3,2,MATH,9000,RES,16,DISSERTATION RES,1-12,TBA,,,,,NEUBRANDER F,Normal,,,
3,2,MATH,9000,RES,17,DISSERTATION RES,1-12,TBA,,,,,WAN X,Normal,,,
14,1,MATH,9000,RES,18,DISSERTATION RES,1-12,TBA,,,,,ZHU J,Normal,,,
98,1,MATH,9000,RES,20,DISSERTATION RES,1-12,TBA,,,,,BULUT A,Normal,,,
9,1,MATH,9000,RES,21,DISSERTATION RES,1-12,TBA,,,,,COHEN D,Normal,,,
8,2,MATH,9000,RES,22,DISSERTATION RES,1-12,TBA,,,,,KOPP G,Normal,,,
9,1,MATH,9000,RES,23,DISSERTATION RES,1-12,TBA,,,,,TU F,Normal,,,
9,1,MATH,9000,RES,24,DISSERTATION RES,1-12,TBA,,,,,MASSATT D,Normal,,,
9,1,MATH,9000,RES,25,DISSERTATION RES,1-12,TBA,,,,,ZHANG H,Normal,,,
4,1,MATH,9000,RES,26,DISSERTATION RES,1-12,TBA,,,,,SCHREVE K,Normal,,,
4,1,MATH,9000,RES,27,DISSERTATION RES,1-12,TBA,,,,,DASBACH O,Normal,,,
4,1,MATH,9000,RES,28,DISSERTATION RES,1-12,TBA,,,,,MALISOFF M,Normal,,,
178,72,MATH,1029,,151,INTRO CONTEMP MATH,3.0,TBA,,,,100% WEB BASED,MUFFULETTO M,C,,,WORLD WIDE WEB-BASED DELIVERY
89,161,MATH,1100,,151,NATURE OF MATHEMATCS,3.0,TBA,,,,100% WEB BASED,DOUGHERTY E,C,,,WORLD WIDE WEB-BASED DELIVERY
32,218,MATH,1431,,151,CAL-BUS & ECO APLCAT,3.0,TBA,,,,100% WEB BASED,LEDET J,C,TBA,,WORLD WIDE WEB-BASED DELIVERY
