title,authors,publication_date,url
Olivia Greer: Weil Gotshal and Privacy Practice and Insights,Cardozo Data Science Law Society,2024-03-28T07:00:00,
Teaching Data Science,"Brunner, Robert J., Kim, Edward J.",2016-04-25T00:00:00,10.1016/j.procs.2016.05.513
"Informaticology: combining Computer Science, Data Science, and Fiction
  Science","Bergstra, Jan A.",2012-01-01T00:00:00,
Data Science and Ebola,"Plaat, Aske",2015-04-11T01:00:00,
Science data systems,,,
